group,gene,scores,log2FoldChange,pvals,padj,significant
malignant,ENSG00000171345,17.027372,5.049283,5.146406840759768e-65,6.054596283246785e-63,True
malignant,ENSG00000111057,16.92335,4.5279975,3.0271583503254157e-64,3.363509278139351e-62,True
malignant,ENSG00000170421,16.762627,4.4386125,4.5793317804975355e-63,4.1630288913613964e-61,True
malignant,ENSG00000119888,16.159027,4.4125576,9.809753115496439e-59,6.328872977739638e-57,True
malignant,ENSG00000106211,15.751641,2.2708585,6.692116476962618e-56,3.717842487201455e-54,True
malignant,ENSG00000175793,15.398276,4.730324,1.680894725368457e-53,7.746647621253657e-52,True
malignant,ENSG00000112378,14.960533,3.8073182,1.3295752601548556e-50,4.584742276396053e-49,True
malignant,ENSG00000163435,14.958524,4.1122556,1.3703233219082155e-50,4.645163803078697e-49,True
malignant,ENSG00000189143,14.144869,4.045516,2.0089066390654148e-45,5.357084370841107e-44,True
malignant,ENSG00000110492,13.973879,4.239282,2.250300505802687e-44,5.770001296929966e-43,True
malignant,ENSG00000169908,13.961378,3.4343626,2.6819749415729366e-44,6.789809978665662e-43,True
malignant,ENSG00000084207,13.879455,1.6667922,8.438369554833624e-44,2.00913560829372e-42,True
malignant,ENSG00000008394,13.816952,3.3221235,2.0142066769865807e-43,4.6303601769806455e-42,True
malignant,ENSG00000184292,13.587029,3.7248108,4.7809100872166976e-42,1.0065073867824627e-40,True
malignant,ENSG00000135480,13.439701,4.569868,3.538613837572553e-41,7.007156114005055e-40,True
malignant,ENSG00000188643,13.234781,3.9859667,5.525757137344196e-40,9.956319166385938e-39,True
malignant,ENSG00000189334,12.691228,4.094565,6.614023866905019e-37,9.94590055173687e-36,True
malignant,ENSG00000272398,12.6479225,4.047609,1.1487195061410176e-36,1.7066479418822606e-35,True
malignant,ENSG00000089356,12.316434,3.843901,7.389020613351349e-35,9.918148474297113e-34,True
malignant,ENSG00000136810,12.292772,1.410048,9.90503424251102e-35,1.303293979277766e-33,True
malignant,ENSG00000196754,12.036286,4.973462,2.2903549693081044e-33,2.8275987275408695e-32,True
malignant,ENSG00000167644,11.956149,4.143252,6.029397388832095e-33,7.135381525245082e-32,True
malignant,ENSG00000124766,11.8440895,2.846147,2.3091151631468763e-32,2.700719489060674e-31,True
malignant,ENSG00000013588,11.79498,3.5218306,4.1429706903568835e-32,4.76203527627228e-31,True
malignant,ENSG00000096696,11.733817,4.2739115,8.55138126413938e-32,9.501534737932645e-31,True
malignant,ENSG00000182718,11.693636,1.2002021,1.3737618354514706e-31,1.4932193863602941e-30,True
malignant,ENSG00000106541,11.646536,3.7363348,2.389772058628783e-31,2.555905945057522e-30,True
malignant,ENSG00000101443,10.990924,3.5594044,4.225760708128852e-28,3.739611246131727e-27,True
malignant,ENSG00000010278,10.725063,1.9058794,7.763376260764633e-27,6.442635901049488e-26,True
malignant,ENSG00000213853,10.7168045,2.4269652,8.488586496862095e-27,7.015360741208343e-26,True
malignant,ENSG00000185499,10.409647,3.292931,2.240516405652197e-25,1.7504034419157788e-24,True
malignant,ENSG00000125968,10.206512,2.4013555,1.8541044377025403e-24,1.383660028136224e-23,True
malignant,ENSG00000110092,9.966322,2.6652315,2.1400745633872336e-23,1.5124201861393878e-22,True
malignant,ENSG00000171346,9.932169,5.3699703,3.016230864740465e-23,2.1019030416309862e-22,True
malignant,ENSG00000086548,9.859174,4.0889225,6.256187269748628e-23,4.285059773800431e-22,True
malignant,ENSG00000163191,9.7832775,0.8350327,1.3283764702163371e-22,8.94529609573291e-22,False
malignant,ENSG00000117450,9.772563,1.215963,1.476685303116279e-22,9.877493666329626e-22,True
malignant,ENSG00000111669,9.640861,0.9945226,5.37358080990793e-22,3.52365954748061e-21,False
malignant,ENSG00000096384,9.507818,0.85527825,1.9470337291918963e-21,1.2480985443537798e-20,False
malignant,ENSG00000124107,9.472325,2.6505969,2.7368211494729677e-21,1.7376642218875986e-20,True
malignant,ENSG00000117472,9.439958,3.3923476,3.72929836144893e-21,2.338118094952307e-20,True
malignant,ENSG00000142089,9.396652,1.3269483,5.6326808795240604e-21,3.509458491915302e-20,True
malignant,ENSG00000181019,9.370312,3.6300364,7.23187377215839e-21,4.4641196124434506e-20,True
malignant,ENSG00000197956,9.311827,0.65666574,1.2565249559614575e-20,7.66173753635035e-20,False
malignant,ENSG00000165215,9.244859,3.5414133,2.3555070825068155e-20,1.4147189684725617e-19,True
malignant,ENSG00000114315,9.195749,2.2909315,3.723887284459686e-20,2.2034836002720034e-19,True
malignant,ENSG00000189377,8.772962,3.15072,1.7402719891764964e-18,9.43236850502166e-18,True
malignant,ENSG00000197747,8.638357,0.75557554,5.7027122638592225e-18,3.025311545813911e-17,False
malignant,ENSG00000148346,8.630097,3.7260888,6.12995397192923e-18,3.2433618899096455e-17,True
malignant,ENSG00000103363,8.621392,0.8178154,6.6145039841142166e-18,3.4905034216961563e-17,False
malignant,ENSG00000267795,8.527414,3.5229566,1.4965506884222836e-17,7.734112084869683e-17,True
malignant,ENSG00000125534,8.401962,1.2957015,4.3908013394729633e-17,2.22319055163188e-16,True
malignant,ENSG00000088986,8.252178,0.8288867,1.5553347589967604e-16,7.680665476527211e-16,False
malignant,ENSG00000175130,8.243472,1.8571562,1.6728370747698178e-16,8.220329605748491e-16,True
malignant,ENSG00000105971,8.227846,2.351608,1.9060907904076819e-16,9.34358230592001e-16,True
malignant,ENSG00000182809,8.113555,2.2855148,4.915977572194693e-16,2.352142379040523e-15,True
malignant,ENSG00000136238,8.093242,0.8662355,5.809731834791377e-16,2.773141687251254e-15,False
malignant,ENSG00000143320,8.018461,4.088221,1.0707777118453553e-15,5.03895393809579e-15,True
malignant,ENSG00000165949,7.8349705,2.314813,4.689520317806205e-15,2.1511561090854153e-14,True
malignant,ENSG00000160789,7.7733607,1.0081993,7.643073794218206e-15,3.482038175042463e-14,True
malignant,ENSG00000131981,7.595004,0.9863252,3.077830711038594e-14,1.3648916678663389e-13,False
malignant,ENSG00000128422,7.329143,4.232435,2.3162898076939313e-13,9.962536807285725e-13,True
malignant,ENSG00000176907,7.268426,2.4444466,3.6370052763325027e-13,1.5509617383081036e-12,True
malignant,ENSG00000158710,7.2646313,0.62501156,3.740577123309924e-13,1.5917349460893293e-12,False
malignant,ENSG00000188612,7.0931945,0.737741,1.3105119004446763e-12,5.471865972629129e-12,False
malignant,ENSG00000157765,7.0885067,2.6756468,1.3556687223760434e-12,5.648619676566848e-12,True
malignant,ENSG00000240972,7.0393972,1.3224703,1.9307330925928888e-12,7.929088675946156e-12,True
malignant,ENSG00000167468,6.934928,0.71945417,4.064283479669266e-12,1.652147755963116e-11,False
malignant,ENSG00000117394,6.8527813,2.040131,7.242784749836315e-12,2.920477721708192e-11,True
malignant,ENSG00000111640,6.5779915,0.59738344,4.768461125712194e-11,1.8663252938208197e-10,False
malignant,ENSG00000196260,6.4143677,3.0873697,1.4140876017213193e-10,5.336179629137053e-10,True
malignant,ENSG00000136155,6.3828926,3.7392364,1.7377362467557677e-10,6.53284303291642e-10,True
malignant,ENSG00000187244,6.378205,2.5287724,1.7917555183059477e-10,6.710694825115908e-10,True
malignant,ENSG00000169567,6.3728476,0.55224144,1.8555022163840017e-10,6.936456883678511e-10,False
malignant,ENSG00000137673,6.302755,3.6634996,2.9240090147181293e-10,1.0869921987799736e-09,True
malignant,ENSG00000130513,6.2915936,3.1842775,3.142229317492826e-10,1.1637886361084539e-09,True
malignant,ENSG00000181449,6.2817717,3.7452295,3.3473581358546516e-10,1.232912757220866e-09,True
malignant,ENSG00000160213,6.27195,0.79192156,3.5655416627303114e-10,1.3060592171173301e-09,False
malignant,ENSG00000115541,6.1889105,0.7579431,6.058154052751518e-10,2.155926709164241e-09,False
malignant,ENSG00000101182,6.102299,0.53973055,1.0455352144169264e-09,3.6557175329263163e-09,False
malignant,ENSG00000105388,5.923719,4.823722,3.1474085260179234e-09,1.0561773577241354e-08,True
malignant,ENSG00000102109,5.899164,3.718581,3.6534710029047842e-09,1.2215080294486656e-08,True
malignant,ENSG00000143933,5.8344293,0.6313464,5.397503115257002e-09,1.7872526871711926e-08,False
malignant,ENSG00000078401,5.7058516,2.2440374,1.157628091136034e-08,3.7463692269774566e-08,True
malignant,ENSG00000134333,5.6679034,0.56921965,1.4455542640628816e-08,4.640623640651305e-08,False
malignant,ENSG00000186832,5.6147757,4.6876674,1.9681719356042835e-08,6.258098364401538e-08,True
malignant,ENSG00000175063,5.596918,2.95271,2.1819600066645837e-08,6.894028457076094e-08,True
malignant,ENSG00000115457,5.5953555,2.8886259,2.2017041077240578e-08,6.945438825627943e-08,True
malignant,ENSG00000141753,5.578167,1.6429853,2.4306626967256675e-08,7.655630540868243e-08,True
malignant,ENSG00000163993,5.575488,3.7772818,2.468365193005085e-08,7.762154694984544e-08,True
malignant,ENSG00000176153,5.5469155,5.012069,2.9075317251473483e-08,9.11451951456849e-08,True
malignant,ENSG00000131747,5.5417814,2.610835,2.994100667129182e-08,9.341967760153453e-08,True
malignant,ENSG00000142871,5.4964666,2.1243715,3.87476285892643e-08,1.1919103983005022e-07,True
