group,gene,scores,log2FoldChange,pvals,padj,significant
malignant,ENSG00000162511,-19.173233,-5.1814976,6.19373270349885e-82,1.2387465406997698e-78,True
non_malignant,ENSG00000162511,19.173233,5.1814976,6.19373270349885e-82,1.2387465406997698e-78,True
malignant,ENSG00000081237,-18.942642,-6.031102,5.078401590651076e-80,5.078401590651076e-77,True
non_malignant,ENSG00000081237,18.942642,6.031102,5.078401590651076e-80,5.078401590651076e-77,True
non_malignant,ENSG00000122862,18.893085,4.8651752,1.300187968154228e-79,8.667919787694853e-77,True
malignant,ENSG00000122862,-18.893085,-4.8651752,1.300187968154228e-79,8.667919787694853e-77,True
malignant,ENSG00000143119,-18.689505,-5.918306,6.027002676024837e-78,3.0135013380124185e-75,True
non_malignant,ENSG00000143119,18.689505,5.918306,6.027002676024837e-78,3.0135013380124185e-75,True
non_malignant,ENSG00000126264,18.416054,5.472016,9.766921566290937e-76,3.906768626516375e-73,True
malignant,ENSG00000126264,-18.416054,-5.472016,9.766921566290937e-76,3.906768626516375e-73,True
non_malignant,ENSG00000104894,18.257788,4.757324,1.7941494264924917e-74,5.126141218549976e-72,True
non_malignant,ENSG00000130755,18.26493,5.0615635,1.5741220960038147e-74,5.126141218549976e-72,True
malignant,ENSG00000104894,-18.257788,-4.757324,1.7941494264924917e-74,5.126141218549976e-72,True
malignant,ENSG00000130755,-18.26493,-5.0615635,1.5741220960038147e-74,5.126141218549976e-72,True
malignant,ENSG00000169442,-17.925182,-4.683236,7.50039368681345e-72,1.8750984217033624e-69,True
non_malignant,ENSG00000169442,17.925182,4.683236,7.50039368681345e-72,1.8750984217033624e-69,True
non_malignant,ENSG00000115165,17.848392,6.7243857,2.9747266655153976e-71,6.610503701145329e-69,True
malignant,ENSG00000115165,-17.848392,-6.7243857,2.9747266655153976e-71,6.610503701145329e-69,True
malignant,ENSG00000121966,-17.730083,-4.663033,2.4566701314008896e-70,4.913340262801779e-68,True
non_malignant,ENSG00000121966,17.730083,4.663033,2.4566701314008896e-70,4.913340262801779e-68,True
non_malignant,ENSG00000090104,17.605524,4.993574,2.2342824535515108e-69,4.0623317337300196e-67,True
malignant,ENSG00000090104,-17.605524,-4.993574,2.2342824535515108e-69,4.0623317337300196e-67,True
malignant,ENSG00000132965,-17.392792,-4.132153,9.356468347827582e-68,1.559411391304597e-65,True
non_malignant,ENSG00000132965,17.392792,4.132153,9.356468347827582e-68,1.559411391304597e-65,True
non_malignant,ENSG00000130592,17.350155,4.5749063,1.9671199848222986e-67,3.0263384381881517e-65,True
malignant,ENSG00000130592,-17.350155,-4.5749063,1.9671199848222986e-67,3.0263384381881517e-65,True
