,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,Xenobiotic Metabolism,0.5813650223947218,1.4948966291221946,0.04918032786885246,0.6360792492179353,0.41,14/22,34.12%,ITIH1;ALDH3A1;IGFBP1;AKR1C2;NQO1;ARG1;ABCD2;AKR1C3;ID2;IGFBP4;PTGDS;CDO1;KYNU;APOE
0,prerank,heme Metabolism,-0.5459768650438779,-1.5003560081080918,0.02564102564102564,0.6637168141592921,0.48,6/25,16.83%,AHSP;GYPB;GATA1;TAL1;CTSE;HBD
34,prerank,Glycolysis,0.14402520929014268,0.3827866354691333,1.0,0.9984358706986444,1.0,8/24,31.31%,ELF3;CLDN3;TFF3;GPC3;ISG20;ENO2;MIF;VCAN
33,prerank,Hypoxia,-0.12561697520191595,-0.390074812759098,1.0,0.9993678887484198,1.0,18/55,33.42%,PKP1;CXCR4;IGFBP3;BCL2;ETS1;TNFAIP3;ANGPTL4;CCN1;SLC2A1;SELENBP1;MT1E;STC1;CAV1;BTG1;CAVIN1;RORA;PLAC8;KLF6
3,prerank,KRAS Signaling Dn,-0.36199435366717136,-1.0965481416893912,0.3055555555555556,1.0,0.98,13/47,13.33%,PDCD1;TFAP2B;CD40LG;LGALS7;PKP1;AKR1B10;TFF2;KRT15;TCL1A;KLK7;KRT13;TG;FGF22
32,prerank,UV Response Up,0.16880743400709183,0.41718106481287937,1.0,1.0,1.0,8/28,32.36%,GAL;EPCAM;RASGRP1;KCNH2;RRAD;JUNB;ENO2;CDO1
31,prerank,p53 Pathway,0.15060350754559,0.42171574135266676,1.0,1.0,1.0,10/37,30.46%,GPX2;KRT17;SERPINB5;TM4SF1;S100A4;TXNIP;F2R;RRAD;SOCS1;LIF
30,prerank,Apoptosis,0.14468033172516848,0.42326407762485685,1.0,1.0,1.0,22/52,38.68%,FASLG;CD69;IL1B;TNF;CCND1;TOP2A;HSPB1;BGN;TXNIP;F2R;IGFBP6;ISG20;ENO2;IFITM3;TNFSF10;CCND2;SATB1;LGALS3;GADD45B;MMP2;EREG;IER3
29,prerank,Fatty Acid Metabolism,0.22477397746577016,0.48702317008547963,0.9803921568627451,1.0,1.0,2/14,15.38%,ALDH3A1;INMT
28,prerank,Androgen Response,0.20956005123952892,0.5071135242374237,0.9818181818181818,1.0,1.0,5/17,28.31%,KRT19;CCND1;STEAP4;FKBP5;SELENOP
27,prerank,Estrogen Response Early,-0.2044299045001729,-0.5643477280569489,1.0,1.0,1.0,6/36,12.53%,KRT15;SFN;KRT18;KRT8;TFF1;KRT13
26,prerank,Interferon Alpha Response,0.2193026781202626,0.5691304555014333,0.9555555555555556,1.0,1.0,17/17,78.26%,SELL;TXNIP;ISG20;IFITM3;IFITM2;CXCL10;ISG15;RSAD2;LAMP3;IFI44L;CXCL11;LY6E;IFITM1;C1S;IFI30;CD74;IFI27
25,prerank,Reactive Oxygen Species Pathway,-0.2732288283384732,-0.57928143323764,0.9117647058823529,1.0,1.0,2/10,15.43%,LSP1;MGST1
24,prerank,TNF-alpha Signaling via NF-kB,0.18548343333866663,0.5850986806652995,1.0,1.0,1.0,21/73,30.71%,CD69;IL7R;OLR1;CCL5;CCL4;DUSP2;NR4A3;SLC2A3;IL1B;TNF;CCND1;TNFAIP6;TRAF1;ID2;CXCL1;ZFP36;PLAUR;DUSP4;LIF;JUNB;DUSP1
23,prerank,Angiogenesis,0.2829159618330047,0.6300629732967152,0.9038461538461539,1.0,1.0,3/14,19.39%,OLR1;PF4;S100A4
