,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Graft-versus-host disease,0.6102199449234024,1.5557913539020636,0.03278688524590164,1.0,0.75,6/26,5.56%,KIR3DL2;KIR2DL3;IL2;KIR3DL1;CD28;FASLG
1,prerank,Adrenergic signaling in cardiomyocytes,0.6344689361938017,1.5463393242267447,0.01694915254237288,1.0,0.75,4/22,4.16%,PLN;SLC8A3;PIK3R5;CALML5
2,prerank,Mineral absorption,0.6604470749003833,1.5387573216154786,0.07407407407407407,0.8553249191613644,0.77,1/13,1.60%,SLC8A3
3,prerank,Primary immunodeficiency,-0.6361158386406511,-1.5017214072374072,0.04878048780487805,1.0,0.81,11/16,15.18%,ZAP70;CD3E;CD40LG;PTPRC;LCK;CD19;IL2RG;CD3D;CD8A;CD79A;TNFRSF13B
4,prerank,Dilated cardiomyopathy,0.5874120962752613,1.4504185896690527,0.037037037037037035,1.0,0.94,2/17,1.60%,PLN;SLC8A3
5,prerank,Regulation of actin cytoskeleton,-0.5252950162310054,-1.4227140937391436,0.07317073170731707,1.0,0.95,8/25,19.09%,MYLK2;FGF23;ITGA4;CXCR4;FGF22;ITGB2;RAC2;PDGFRB
6,prerank,Viral protein interaction with cytokine and cytokine receptor,0.4492186398514154,1.3984690566194515,0.038461538461538464,1.0,0.97,26/59,20.99%,IL2;CCL1;CCR8;CX3CR1;IL2RB;IL10;CCR2;XCL2;CCL13;CCL19;CCL5;IL2RA;CCL17;CCL4;CCL8;CCL11;CCL7;CCL14;PF4;CXCL14;TNF;CCL3;IL18R1;CXCR1;CXCL13;XCL1
7,prerank,Non-alcoholic fatty liver disease,0.6274277981989244,1.3841311570647998,0.04918032786885246,1.0,0.97,5/14,20.39%,LEP;FASLG;IL1B;TNF;COX4I2
8,prerank,Hematopoietic cell lineage,-0.4314167179328102,-1.3757501397185468,0.027777777777777776,1.0,0.99,16/47,11.07%,EPO;CD1E;CD1A;CD3E;CD2;CD1C;ITGA4;FCER2;CD5;MS4A1;CD19;CD37;CD3D;CD8A;IL9R;CD24
9,prerank,JAK-STAT signaling pathway,0.4981107555106821,1.3674523610584577,0.038461538461538464,1.0,0.97,12/38,14.78%,IL2;IL21;LEP;IL4;IL22;IL2RB;IL7R;IL10;IFNG;IL2RA;OSM;IL13RA2
10,prerank,Tight junction,-0.54136526705478,-1.3620032568277087,0.09523809523809523,1.0,0.99,6/24,11.12%,CLDN19;CD1E;CD1A;CD1C;JAM2;CLDN4
