,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
2,prerank,Mineral absorption,0.6604470749003833,1.5387573216154786,0.07407407407407407,0.8553249191613644,0.77,1/13,1.60%,SLC8A3
164,prerank,Autophagy,0.1827794561933535,0.3511627095151978,1.0,0.9993741524981746,1.0,10/10,81.81%,PRKCQ;CTSL;DDIT4;CTSD;VAMP8;CTSB;GABARAP;PIK3R1;RAB39B;BCL2
165,prerank,ECM-receptor interaction,-0.13849926616202551,-0.34908219661290724,1.0,0.9995722230144019,1.0,1/22,5.76%,ITGA4
162,prerank,Shigellosis,-0.14515667405832006,-0.3682073032799601,1.0,1.0,1.0,9/27,33.97%,NLRP3;BCL2;CD14;H3C13;TRAF5;PRKCE;CD44;C3;PIK3R1
105,prerank,Proteoglycans in cancer,0.2689201074801001,0.6860004852162903,0.896551724137931,1.0,1.0,14/30,38.18%,FASLG;PRKCB;TNF;CCND1;GPC3;PLAUR;KDR;IGF2;WNT10A;HSPG2;THBS1;RAC1;MMP2;CTSL
106,prerank,Pancreatic secretion,0.2812922814546527,0.6838144601248559,0.8518518518518519,1.0,1.0,6/19,22.90%,PRSS1;PRSS2;PRKCB;SCT;PRSS3;ADCY4
107,prerank,Parkinson disease,0.276967601075902,0.6831737367295042,0.9032258064516129,1.0,1.0,3/23,9.12%,CALML5;TUBA3D;UCHL1
108,prerank,Hepatocellular carcinoma,0.3089413625234678,0.6815086923129723,0.9215686274509803,1.0,1.0,10/17,36.47%,PRKCB;NQO1;GSTA1;CCND1;GSTP1;IGF2;WNT10A;TCF7;GSTA2;GADD45B
109,prerank,Pertussis,-0.2591887636089628,-0.6763783956917379,0.9047619047619048,1.0,1.0,7/27,21.39%,NLRP3;CALML3;C1QC;ITGB2;C1QA;CD14;C1QB
110,prerank,Fc gamma R-mediated phagocytosis,0.29775913064858367,0.6751617641873411,0.9038461538461539,1.0,1.0,3/15,8.87%,FCGR2B;FCGR3A;PRKCB
111,prerank,Hepatitis B,0.2852947534178297,0.6699472296751461,0.8333333333333334,1.0,1.0,3/14,17.99%,FASLG;PRKCB;TNF
104,prerank,Amyotrophic lateral sclerosis,0.2869286737768575,0.7011150000021048,0.8888888888888888,1.0,1.0,5/24,20.39%,TUBA3D;GPX2;PRPH;TNF;COX4I2
112,prerank,Wnt signaling pathway,0.271164840154107,0.6594200344142578,0.9464285714285714,1.0,1.0,11/23,34.42%,PRKCB;SOST;SOX17;MMP7;CCND1;SFRP1;NFATC2;WIF1;WNT10A;CCND2;TCF7
114,prerank,B cell receptor signaling pathway,0.27827530069235296,0.6564795607697421,0.9245283018867925,1.0,1.0,3/17,8.87%,FCGR2B;LILRA4;PRKCB
115,prerank,Circadian entrainment,0.30882303631957964,0.6544806320969433,0.8636363636363636,1.0,1.0,2/12,8.87%,CALML5;PRKCB
